_id,site_id,tree_subj,main_subj_ids,hadith_ids,url
1528c519f4e5ea76e89cf07cfe624744,32,نية الوضوء,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=32
2d94aaec1af3d87bb4816e796b386a54,269,النية في الغسل,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=269
3913d022573b89948a5d22ed82543c63,323,النية في التيمم,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=323
7d9f1c5ae5365240ce70ea15cab71b2f,1525,من أركان الصلاة النية,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=1525
eaabe0f3ff6907f261a5722440c6e0ab,3393,الإحرام مع النية,[],"['bukhari-01487', 'bukhari-01476', 'bukhari-02392', 'bukhari-02371', 'bukhari-01444', 'bukhari-00054', 'bukhari-06553', 'bukhari-01443', 'bukhari-03685', 'bukhari-06311', 'bukhari-04146', 'bukhari-01702', 'bukhari-01495', 'bukhari-06803', 'bukhari-01628', 'bukhari-00001', 'bukhari-04783', 'bukhari-01479', 'bukhari-01470', 'bukhari-01478']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=3393
0e086141e888f5653c5da5e40aa09239,28324,تقسيم النية بحسب المؤاخذة الأخروية,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=28324
dca0b5a8f0f7be2ea666db614d18f7c4,24770,إخلاص النية في الجهاد,[],"['bukhari-03017', 'bukhari-02670', 'bukhari-02644', 'bukhari-02810', 'bukhari-01737', 'bukhari-00036', 'bukhari-02631', 'bukhari-02955', 'bukhari-02655', 'bukhari-02912', 'bukhari-02635', 'bukhari-02392', 'bukhari-00054', 'bukhari-06695', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311', 'bukhari-07025', 'bukhari-00123', 'bukhari-00001', 'bukhari-04783', 'bukhari-07020', 'bukhari-07019']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=24770
d993533837450277235874d515cb5920,28276,الإخلاص في النية,[],"['bukhari-03017', 'bukhari-02670', 'bukhari-00035', 'bukhari-06292', 'bukhari-02810', 'bukhari-00058', 'bukhari-01737', 'bukhari-01322', 'bukhari-06012', 'bukhari-01356', 'bukhari-06352', 'bukhari-00036', 'bukhari-00047', 'bukhari-04088', 'bukhari-06525', 'bukhari-02631', 'bukhari-04147', 'bukhari-02242', 'bukhari-02955', 'bukhari-04635', 'bukhari-02012', 'bukhari-01905', 'bukhari-05036', 'bukhari-02591', 'bukhari-02655', 'bukhari-01261', 'bukhari-02488', 'bukhari-04086', 'bukhari-01234', 'bukhari-02912', 'bukhari-03446', 'bukhari-01910', 'bukhari-01298', 'bukhari-02635', 'bukhari-01802', 'bukhari-02392', 'bukhari-00645', 'bukhari-00054', 'bukhari-03545', 'bukhari-00038', 'bukhari-06553', 'bukhari-06923', 'bukhari-03685', 'bukhari-06311', 'bukhari-04678', 'bukhari-01831', 'bukhari-00056', 'bukhari-00037', 'bukhari-07025', 'bukhari-02705', 'bukhari-00790', 'bukhari-00123', 'bukhari-02609', 'bukhari-00055', 'bukhari-01904', 'bukhari-00001', 'bukhari-04783', 'bukhari-02698', 'bukhari-07019', 'bukhari-04058', 'bukhari-05344', 'bukhari-03721']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=28276
0929753ee8c9b4da31b81fd1ba268013,2424,النية في الصيام,[],"['bukhari-06837', 'bukhari-00001', 'bukhari-01824', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-01903', 'bukhari-03685', 'bukhari-06311', 'bukhari-01859']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=2424
10bbdb4ef4c4971b39f36ff53bedacac,16473,اليمين المعقودة,[],"['bukhari-06286', 'bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-04337', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=16473
944bd3c8451bf17de194408ba72dd832,11775,طلاق المجنون,[],"['bukhari-00001', 'bukhari-04783', 'bukhari-02392', 'bukhari-00054', 'bukhari-06553', 'bukhari-03685', 'bukhari-06311']",https://www.islamweb.net/ar/library/maktaba/nindex.php?page=treesubj&link=11775
