context,_id,after,narrators_id,h_wa_chain,h_wa_haddathana,before,aliase,order
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,قال حدثنا,14171,0,0,1 حدثنا,الحميدي عبد الله بن الزبير,1
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,قال حدثنا,16008,0,0,قال حدثنا,سفيان,2
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,قال أخبرني,17314,0,0,قال حدثنا,يحيى بن سعيد الأنصاري,3
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,أنه سمع,16900,0,0,قال أخبرني,محمد بن إبراهيم التيمي,4
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,يقول سمعت,16590,0,0,أنه سمع,علقمة بن وقاص الليثي,5
 1 حدثنا الحميدي عبد الله بن الزبير قال حدثنا سفيان قال حدثنا يحيى بن سعيد الأنصاري قال أخبرني محمد بن إبراهيم التيمي أنه سمع علقمة بن وقاص الليثي يقول سمعت عمر بن الخطاب رضي الله عنه على المنبر,bukhari-00001-00,رضي الله عنه على المنبر,2,0,0,يقول سمعت,عمر بن الخطاب,6
 2 حدثنا عبد الله بن يوسف قال أخبرنا مالك عن هشام بن عروة عن أبيه عن عائشة أم المؤمنين رضي الله عنها,bukhari-00002-00,قال أخبرنا,16475,0,0,2 حدثنا,عبد الله بن يوسف,1
 2 حدثنا عبد الله بن يوسف قال أخبرنا مالك عن هشام بن عروة عن أبيه عن عائشة أم المؤمنين رضي الله عنها,bukhari-00002-00,عن,16867,0,0,قال أخبرنا,مالك,2
 2 حدثنا عبد الله بن يوسف قال أخبرنا مالك عن هشام بن عروة عن أبيه عن عائشة أم المؤمنين رضي الله عنها,bukhari-00002-00,عن,17245,0,0,عن,هشام بن عروة,3
 2 حدثنا عبد الله بن يوسف قال أخبرنا مالك عن هشام بن عروة عن أبيه عن عائشة أم المؤمنين رضي الله عنها,bukhari-00002-00,عن,16561,0,0,عن,أبيه,4
 2 حدثنا عبد الله بن يوسف قال أخبرنا مالك عن هشام بن عروة عن أبيه عن عائشة أم المؤمنين رضي الله عنها,bukhari-00002-00,رضي الله عنها,25,0,0,عن,عائشة أم المؤمنين,5
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,قال حدثنا,17320,0,0,4 حدثنا,يحيى بن بكير,1
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,عن,15124,0,0,قال حدثنا,الليث,2
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,عن,16581,0,0,عن,عقيل,3
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,عن,12300,0,0,عن,ابن شهاب,4
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,عن,16561,0,0,عن,عروة بن الزبير,5
 4 حدثنا يحيى بن بكير قال حدثنا الليث عن عقيل عن ابن شهاب عن عروة بن الزبير عن عائشة أم المؤمنين أنها قالت قال ابن شهاب وأخبرني أبو سلمة بن عبد الرحمن أن جابر بن عبد الله الأنصاري قال وهو يحدث عن فترة الوحي فقال في حديثه بينا أنا أمشي إذ سمعت صوتا من السماء فرفعت بصري فإذا الملك الذي جاءني بحراء جالس على كرسي بين السماء والأرض [ ص: 6 ] فرعبت منه فرجعت فقلت زملوني زملوني فأنزل الله تعالى يا أيها المدثر قم فأنذر إلى قوله والرجز فاهجر فحمي الوحي وتتابع تابعه عبد الله بن يوسف وأبو صالح وتابعه هلال بن رداد عن الزهري وقال يونس ومعمر بوادره,bukhari-00004-00,أنها قالت,25,0,0,عن,عائشة أم المؤمنين,6
